2019-12-03 14:54:31,790 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-03 14:54:31,790 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-03 14:54:31,790 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-03 14:54:31,790 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-03 14:54:54,993 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-03 14:54:54,993 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-03 14:54:55,008 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-03 14:54:55,008 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-03 14:55:04,429 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-03 14:55:04,429 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-03 14:55:04,429 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-03 14:55:04,429 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-03 14:55:11,523 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-03 14:55:11,523 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-03 14:55:11,539 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-03 14:55:11,539 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-03 15:50:18,386 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: springdemo:P04.spring-java-config:0.0.1-SNAPSHOT @ C:\Training\Edclipse-Workspaces\WorkspaceAdvanced\P04.spring-java-config\pom.xml.
2019-12-03 15:50:18,808 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-03 15:50:18,808 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-03 15:50:18,808 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-03 15:50:18,808 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-03 15:50:21,207 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-03 15:50:21,208 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-03 15:50:21,208 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-03 15:50:21,208 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-03 15:50:36,768 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-12-03 15:50:39,838 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: springdemo:P04.spring-java-config:0.0.1-SNAPSHOT @ C:\Training\Edclipse-Workspaces\WorkspaceAdvanced\P04.spring-java-config\pom.xml.
2019-12-03 15:50:40,160 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /P04.spring-java-config/src/main/java
2019-12-03 15:50:40,160 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /P04.spring-java-config/src/main/resources
2019-12-03 15:50:40,160 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /P04.spring-java-config/src/test/java
2019-12-03 15:50:40,160 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /P04.spring-java-config/src/test/resources
